,SMILE,ph,SRP,solvent_-,solvent_1 M H2SO4,solvent_CH2Cl2,solvent_CH3CN,solvent_H2O,solvent_MeCN,solvent_PBS buffer,solvent_iso-propyl alcohol,type_anion,type_neutral,type_radical
25,CN(C)C(C)C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,7.0,0.584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
84,CC1=C(C(O)C(=CC1O)OC)OC,7.0,0.399,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10,C1=CC=C[C-]1[Fe+2][C-]2C=CC=C2CCCCC(=O)N,7.0,0.349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
342,C1=CC=C2C(=C1)C(=O)C=C(C2=O)CO,7.0,-0.152,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
890,[CH-]1[CH-][CH-][CH-][CH-]1.[CH-]1C=CC=C1.[Fe],7.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
396,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,7.0,-0.433,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
744,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,7.0,-0.292,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
823,CN1C2=C(C=C(C=C2)Br)SC3=CC=CC=C31,7.0,0.766,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
118,C1=C(C=C(C=C1O)O)C(=O)O,13.5,0.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
298,C1=CC=[C-]C=C1,7.0,-0.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
416,CCCCNC(=O)C1=CC=C(O1)[N+](=O)[O-],7.0,-0.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
29,C1=CC=C[C-]1[Fe+2][C-]2C=CC(=C2)CN(CCN),7.0,0.544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
55,CC1=C(C(O)C=CC1O)C,7.0,0.424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
428,CC(C)C1=CN=C(N1C)[N+](=O)[O-],7.0,-0.439,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
299,[CH2]C1=CC=CC=C1,7.0,0.97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
604,C1(=C[N+]3=C(C=C1)C2=[N+](C=CC=C2)CC3)OCC,7.0,-0.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
259,C1[C@@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,7.0,0.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
196,O=S(C1=CC(C(C2=C(O)C=CC(O)=C2C3[O])[O-])=C3C=C1)([O-])=O,7.0,-0.249,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
377,C1=C(C(=O)C(=CC1=C2C=C(C(=O)C(=C2)Cl)Cl)Cl)Cl,7.0,0.26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
81,COC1=CC(O)C=C(C1O)OC,7.0,-0.337,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
857,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,7.0,0.944,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
651,CCSC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CSCC,7.0,-0.308,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
703,CCOC(=O)C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,7.0,-0.362,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
886,CC1C(=NNC1=O)C,7.0,0.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
797,C1=CC(=CC=C1N)N,7.0,0.183,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
204,[O-]C1C=CC([O])C2=CN(C)C(C3=CC=CC=C3)=C12,7.0,-0.419,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
551,COCC(CN1C=NC(=C1[N+](=O)[O-])I)O,7.0,-0.441,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
655,CCOCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCOCC,7.0,-0.386,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
294,C1=CC=CC=C1[CH1]O,7.0,-0.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
462,C1=CN=C([N]1CC[N+]2(CCOCC2)C)[N+](=O)O[H],7.0,-0.318,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
544,COSC1=NC=C([N+]([O-])=O)[N]1C,7.0,-0.361,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
841,C1=CC3=C(C=C1)N(C2=C(C=CC=C2)S3)CCCN4CCN(CC4)C,7.0,0.847,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
777,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,7.0,0.084,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
440,CC(=O)CN1C=CN=C1[N+](=O)[O-],7.0,-0.358,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
813,C1C(=O)C(=O)NC(=O)N1,7.0,0.132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
404,C1(=C(C=C(C(=C1)[N+](=O)[O-])N2CC2)C(=O)NCC(OC)OC)[N+](=O)[O-],7.0,-0.384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
59,CC1=CC([O])C=C(C1[O-])C,7.0,-0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
321,C1CO[CH]O1,7.0,0.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
