count,IUPAC Name,InChIKey,SMILE,solvent,"SRP (exp, V)","SRP (calc, V)",IP(exp),IP(calc),비고
1,,,C1=CC(=CC=C1[CH2])OC2=CC=CC=C2,CH3CN,0.69,0.8,,6.69,radical
2,,,C2(=CC=C(C=C2)C)[CH2],CH3CN,0.75,0.85,6.96±0.02,7.13,radical
3,,,C1=C(C=CC=C1[CH2])C,CH3CN,0.91,0.98,7.12±0.02,7.31,radical
4,,,C1=CC(=CC=C1[CH2])Cl,CH3CN,0.97,0.92,,7.43,radical
5,,,C1(=CC=C(C=C1)[CH2])COC,CH3CN,1.04,0.97,,7.74,radical
6,,,C1(=CC=C(C=C1)[CH2])CN,CH3CN,1.14,1.22,,7.7,radical
7,,,C1=C(C=CC=C1[CH2])CN,CH3CN,1.32,1.36,,8.02,radical
8,,,C1=CC=C(C=C1CN)[CH2],CH3CN,1.35,1.28,,8.03,radical
9,,,C1(=CC=C(C=C1)[CH2-])OC,CH3CN,-1.51,-1.5,,0.99,anion
10,,,C1(=CC=C(C=C1)[CH2-])C,CH3CN,-1.38,-1.42,0.84±0.14,1.07,anion
11,,JSPUPQKGFIAVKS-UHFFFAOYSA-N,CC1=CC(=CC=C1)[CH2-],CH3CN,-1.26,-1.3,0.88±0.14,1.15,anion
12,,GHVKACNJJWQXIV-UHFFFAOYSA-N,[CH2-]C1=CC=C(C=C1)F,CH3CN,-1.26,-1.34,0.94±0.01,1.19,anion
13,1-chloro-4-methanidylbenzene,OQPFRBULBKXFAN-UHFFFAOYSA-N,[CH2-]C1=CC=C(C=C1)Cl,CH3CN,-1.16,-1.29,,1.42,anion
14,,,C1=C(C=CC(=C1)[CH2-])COC,CH3CN,-0.47,-0.75,,2.03,anion
15,,,C1=C(C=CC(=C1)[CH2-])CN,CH3CN,-0.53,-0.78,,2.11,anion
16,,,C1(=CC=CC(=C1)[CH2-])CN,CH3CN,-0.87,-1.05,,1.82,anion
17,,KOBIOHUCVDLGSR-UHFFFAOYSA-N,[CH2-]C1=CC(=CC=C1)C(F)(F)F,CH3CN,-0.96,-0.92,,1.64,anion
18,propan-2-ol,MHSVKHQUDMMODH-UHFFFAOYSA-N,C[C](C)O,CH3CN,-0.37,-0.46,,6.47,radical
19,diphenylmethanol,RMRWHVRKOPRWIC-UHFFFAOYSA-N,C1=CC=C(C=C1)[C](C2=CC=CC=C2)O,CH3CN,-0.01,0.1,,6.22,radical
20,,,[C](O)(C1=CC=CC=C1)C,CH3CN,0,0.01,,6.34,radical
21,,,[C](O)(C1=CC=C(C=C1)C)C,CH3CN,-0.22,-0.13,,6.13,radical
22,,,C1=CC=CC=C1[CH1]O,CH3CN,-0.06,0.17,,6.65,radical
23,,,C1=CC=CC=C1[C](O)C(F)(F)F,CH3CN,0.55,0.79,,7.21,radical
24,,,C12=CC=CC=C1C3C([C]2O)C=CC=C3,CH3CN,0.62,0.46,,6.61,radical
25,,,C1(=CC=CC=C1)[C](C)OC,CH3CN,0.15,-0.2,,6.07,radical
26,benzene,BJISZDCMBMQNIY-UHFFFAOYSA-N,C1=CC=[C-]C=C1,CH3CN,-0.29,-0.6,1.1±0.01,1.33,anion
27,,,[CH2]C1=CC=CC=C1,CH3CN,0.97,0.96,7.24±0.01,7.48,radical
28,,,C[C](C)C1=CC=CC=C1,CH3CN,0.4,0.48,6.6,6.71,radical
29,methanidylbenzene,QJHNLKRMBCYQKX-UHFFFAOYSA-N,[CH2-]C1=CC=CC=C1,CH3CN,-1.21,-1.31,0.91±0.01,1.16,anion
30,propan-2-ylbenzene,NCCMLVRJQAWFKV-UHFFFAOYSA-N,C[C-](C)C1=CC=CC=C1,CH3CN,-1.49,-1.57,0.79±0.11,1,anion
31,,,C1=CC=C(C=C1)[CH]C2=CC=CC=C2,CH3CN,0.59,0.63,7.3±0.1,6.74,radical
32,phenylmethylbenzene,NNVWSGFSACJGQM-UHFFFAOYSA-N,C1=CC=C(C=C1)[CH-]C2=CC=CC=C2,CH3CN,-0.9,-0.88,1.36±0.10,1.71,anion
33,,,CN(C)[CH2],CH3CN,-0.79,-0.85,5.7,5.91,radical
34,N-methanidyl-N-methylmethanamine,DDJYECBQQIZPFL-UHFFFAOYSA-N,CN(C)[CH2-],CH3CN,-1.76,-1.82,,0,anion
35,,,CCN(CC)[CH]C,CH3CN,-0.88,-1.24,,5.21,radical
36,,,C[CH]C1=CC=CC=C1,CH3CN,0.61,0.58,6.9,6.99,radical
37,ethylbenzene,MOBCEBITJHCPMO-UHFFFAOYSA-N,C[CH-]C1=CC=CC=C1,CH3CN,-1.34,-1.31,0.81±0.13,1.05,anion
38,,,C[C](C1=CC=CC=C1)C2=CC=CC=C2,CH3CN,0.47,0.43,,6.49,radical
39,1-phenylethylbenzene,OEDSLIOLRKHESG-UHFFFAOYSA-N,C[C-](C1=CC=CC=C1)C2=CC=CC=C2,CH3CN,-1.1,-1.16,,1.51,anion
40,,,C[C](C)C,CH3CN,0.35,0.17,6.70±0.03,7.03,radical
41,2-methylpropane,IGWYRSNASJCHQT-UHFFFAOYSA-N,C[C-](C)C,CH3CN,-1.76,-1.88,,0.2,anion
42,,,CO[CH2],CH3CN,0,0.35,6.94,7.38,radical
43,methanidyloxymethane,WIPUDUWIDIAUPY-UHFFFAOYSA-N,CO[CH2-],CH3CN,-1.06,-1.48,-0.02±0.10,0.18,anion
44,,,C1=CC=CC2=C1[CH]C3C2C=CC=C3,CH3CN,1,1.01,7.07,7.16,radical
45,,,C1=CC=CC2=C1[CH-]C3C2C=CC=C3,CH3CN,-0.52,-0.48,1.87±0.01,2.07,anion
46,,,CCO[CH]C,CH3CN,-0.21,-0.23,,6.45,radical
47,,,C1C[CH]OC1,CH3CN,-0.11,-0.25,,6.53,radical
48,,,C1CO[CH]CO1,CH3CN,0.16,-0.04,,6.74,radical
49,,,C1CO[CH]O1,CH3CN,0.55,-0.62,,6.21,radical
50,,,C1[CH]OCO1,CH3CN,-0.1,0.17,,7.1,radical
51,,,C1OCO[CH]O1,CH3CN,0.44,-0.66,,6.38,radical
52,,,CN([CH2])C1=CC=CC=C1,CH3CN,-0.61,-0.46,,5.95,radical
53,,,CN([CH2-])C1=CC=CC=C1,CH3CN,-1.79,-1.71,,0.5,anion
54,,,COC1=CC=C(C=C1)[CH2],CH3CN,0.5,0.5,6.8,6.72,radical
55,,WCYWZMWISLQXQU-UHFFFAOYSA-N,[CH3],CH3CN,,2.54,,10.23,radical
56,carbanide,LGRLWUINFJPLSH-UHFFFAOYSA-N,[CH3-],CH3CN,,-0.98,,0.36,anion
57,,QUPDWYMUPZLYJZ-UHFFFAOYSA-N,C[CH2],CH3CN,,1.23,,8.49,radical
58,ethane,KMMMKPYXRLFMSO-UHFFFAOYSA-N,C[CH2-],CH3CN,,-1.55,,0.06,anion
59,,HNUALPPJLMYHDK-UHFFFAOYSA-N,C[CH]C,CH3CN,,0.65,,7.65,radical
60,propane,PAWNFHIIAQGQOY-UHFFFAOYSA-N,C[CH-]C,CH3CN,,-1.81,,0.06,anion
61,,IIVWHGMLFGNMOW-UHFFFAOYSA-N,C[C](C)C,CH3CN,,0.17,,7.03,radical
62,2-methylpropane,IGWYRSNASJCHQT-UHFFFAOYSA-N,C[C-](C)C,CH3CN,,-1.88,,0.22,anion
63,,RMRFFCXPLWYOOY-UHFFFAOYSA-N,C=C[CH2],CH3CN,,1.42,,8.42,radical
64,prop-1-ene,WTGJAEVFEMBUCK-UHFFFAOYSA-N,[CH2-]C=C,CH3CN,,-1.11,,0.79,anion
65,,DITHIFQMPPCBCU-UHFFFAOYSA-N,[CH2]C#C,CH3CN,,2,,9,radical
66,prop-1-yne,XPVBHDCWRJTAOG-UHFFFAOYSA-N,[CH2-]C#C,CH3CN,,-0.64,,1.23,anion
67,,SLRMQYXOBQWXCR-UHFFFAOYSA-N,[CH2]C1=CC=CC=C1,CH3CN,,0.96,,7.48,radical
68,methanidylbenzene,QJHNLKRMBCYQKX-UHFFFAOYSA-N,[CH2-]C1=CC=CC=C1,CH3CN,,-1.31,,1.16,anion
69,,UIBVOXFCGWJCTC-UHFFFAOYSA-N,C1=CC=C(C=C1)[CH]C2=CC=CC=C2,CH3CN,,0.63,,6.74,radical
70,phenylmethylbenzene,NNVWSGFSACJGQM-UHFFFAOYSA-N,C1=CC=C(C=C1)[CH-]C2=CC=CC=C2,CH3CN,,-0.88,,1.71,anion
71,,OHSJPLSEQNCRLW-UHFFFAOYSA-N,C1=CC=C(C=C1)[C](C2=CC=CC=C2)C3=CC=CC=C3,CH3CN,,0.45,,6.32,radical
72,diphenylmethylbenzene,BPINQDBQLXHTHG-UHFFFAOYSA-N,C1=CC=C(C=C1)[C-](C2=CC=CC=C2)C3=CC=CC=C3,CH3CN,,-0.99,,1.77,anion
73,,XIPUIGPNIDKXJU-UHFFFAOYSA-N,C1C[CH]1,CH3CN,,0.05,,7.05,radical
