IUPAC Name,SMILE,solvent,type,SRP
"cyclohexa-2,5-diene-1,4-dione",C1=CC(=O)C=CC1=O,H2O,neutral,0.078
"2-methylcyclohexa-2,5-diene-1,4-dione",CC1=CC(=O)C=CC1=O,H2O,neutral,0.023
"2,3-dimethylcyclohexa-2,5-diene-1,4-dione",CC1=C(C(=O)C=CC1=O)C,H2O,neutral,-0.074
"2,5-dimethylcyclohexa-2,5-diene-1,4-dione",CC1=CC(=O)C(=CC1=O)C,H2O,neutral,-0.067
"2,6-dimethylcyclohexa-2,5-diene-1,4-dione",CC1=CC(=O)C=C(C1=O)C,H2O,neutral,-0.08
"2,3,5-trimethylcyclohexa-2,5-diene-1,4-dione",CC1=CC(=O)C(=C(C1=O)C)C,H2O,neutral,-0.165
"2,3,5,6-tetramethylcyclohexa-2,5-diene-1,4-dione",CC1=C(C(=O)C(=C(C1=O)C)C)C,H2O,neutral,-0.26
"2,5-bis(aziridin-1-yl)-3,6-bis(2-hydroxyethylamino)cyclohexa-2,5-diene-1,4-dione",C1CN1C2=C(C(=O)C(=C(C2=O)NCCO)N3CC3)NCCO,H2O,neutral,-0.383
"ethyl N-[2,5-bis(aziridin-1-yl)-4-(ethoxycarbonylamino)-3,6-dioxocyclohexa-1,4-dien-1-yl]carbamate",CCOC(=O)NC1=C(C(=O)C(=C(C1=O)N2CC2)NC(=O)OCC)N3CC3,H2O,neutral,-0.168
"naphthalene-1,2-dione",C1=CC=C2C(=C1)C=CC(=O)C2=O,H2O,neutral,-0.089
"naphthalene-1,4-dione",C1=CC=C2C(=O)C=CC(=O)C2=C1,H2O,neutral,-0.14
"5-hydroxynaphthalene-1,4-dione",C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,H2O,neutral,-0.093
"5,8-dihydroxynaphthalene-1,4-dione",C1=CC(=C2C(=O)C=CC(=O)C2=C1O)O,H2O,neutral,-0.11
"1,4-dioxonaphthalene-2-sulfonic acid",C1=CC=C2C(=C1)C(=O)C=C(C2=O)S(=O)(=O)O,H2O,neutral,-0.06
"2-methylnaphthalene-1,4-dione",CC1=CC(=O)C2=CC=CC=C2C1=O,H2O,neutral,-0.203
"2-(hydroxymethyl)naphthalene-1,4-dione",C1=CC=C2C(=C1)C(=O)C=C(C2=O)CO,H2O,neutral,-0.152
"2-(methoxymethyl)naphthalene-1,4-dione",COCC1=CC(=O)C2=CC=CC=C2C1=O,H2O,neutral,-0.129
"(1,4-dioxonaphthalen-2-yl)methyl acetate",CC(=O)OCC1=CC(=O)C2=CC=CC=C2C1=O,H2O,neutral,-0.1
"(1,4-dioxonaphthalen-2-yl)methyl N-(2-chloroethyl)carbamate",C1=CC=C2C(=C1)C(=O)C=C(C2=O)COC(=O)NCCCl,H2O,neutral,-0.122
"6-(bromomethyl)naphthalene-1,4-dione",C1=CC2=C(C=C1CBr)C(=O)C=CC2=O,H2O,neutral,-0.092
"6-(chloromethyl)naphthalene-1,4-dione",C1=CC2=C(C=C1CCl)C(=O)C=CC2=O,H2O,neutral,-0.094
"(5,8-dioxonaphthalen-2-yl)methyl acetate",CC(=O)OCC1=CC2=C(C=C1)C(=O)C=CC2=O,H2O,neutral,-0.094
"(5,8-dioxonaphthalen-2-yl)methyl N-methylcarbamate",CNC(=O)OCC1=CC2=C(C=C1)C(=O)C=CC2=O,H2O,neutral,-0.099
"2,3-dimethylnaphthalene-1,4-dione",CC1=C(C(=O)C2=CC=CC=C2C1=O)C,H2O,neutral,-0.24
"(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-(3-methyl-1,4-dioxonaphthalen-2-yl)sulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid",CC1=C(C(=O)C2=CC=CC=C2C1=O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N,H2O,neutral,-0.192
"2-methyl-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione",CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C,H2O,neutral,-0.17
"9,10-dioxoanthracene-2-sulfonate",C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)S(=O)(=O)[O-],H2O,neutral,-0.39
"1,4-dihydroxy-9,10-dioxoanthracene-2-sulfonate",C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)S(=O)(=O)[O-])O,H2O,neutral,-0.27
"5,8-dihydroxy-9,10-dioxoanthracene-2-sulfonate",C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)O,H2O,neutral,-0.249
"1,4-dihydroxy-5-[2-(2-hydroxyethylamino)ethylamino]-8-[2-(propylamino)ethylamino]anthracene-9,10-dione",CCCNCCNC1=C2C(=C(C=C1)NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O,H2O,neutral,-0.527
"1,4-bis[(2-hydroxyethyl-amino)ethyl]amino-9,10-anthraquinone diacetate",C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCNCCOC(=O)O)NCCNCCOC(=O)O,H2O,neutral,-0.348
,C2(C1=C(C)N(C(=C1C(C=C2)=O)C3=CC=CC=C3)C)=O,H2O,neutral,-0.44
"8-methyl-2,3-dihydro-1H-pyrrolo[2,1-a]isoindole-6,9-dione",CC1=CC(=O)C2=CN3CCCC3=C2C1=O,H2O,neutral,-0.42
"2,3,5-trimethyl-1-phenylisoindole-4,7-dione",CC1=CC(=O)C2=C(N(C(=C2C1=O)C)C)C3=CC=CC=C3,H2O,neutral,-0.423
"5-phenyl-2,3-dihydro-1H-pyrrolo[2,1-a]isoindole-6,9-dione",C1CC2=C3C(=O)C=CC(=O)C3=C(N2C1)C4=CC=CC=C4,H2O,neutral,-0.427
,C2(C1=C([N](C=C1C(C=C2)=O)C)C3=CC=CC=C3)=O,H2O,neutral,-0.419
,C2(C1=C3[N](C(=C1C(C=C2)=O)C)CCC3)=O,H2O,neutral,-0.438
,C2(C1=C4[N](C(=C1C(C(=C2C)C)=O)C3=CC=CC=C3)CCC4)=O,H2O,neutral,-0.435
,C2(C1=C[N](C(=C1C(C(=C2C)C)=O)C)C)=O,H2O,neutral,-0.452
"ethyl 8-methyl-6,9-dioxo-2,3-dihydro-1H-pyrrolo[1,2-b]isoindole-5-carboxylate",CCOC(=O)C1=C2C(=O)C=C(C(=O)C2=C3N1CCC3)C,H2O,neutral,-0.368
"ethyl 2,5-dimethyl-4,7-dioxo-3-phenylisoindole-1-carboxylate",CCOC(=O)C1=C2C(=O)C=C(C(=O)C2=C(N1C)C3=CC=CC=C3)C,H2O,neutral,-0.366
,C2(C1=C([N]3C(=C1C(C(=C2C)OC)=O)CCC3)C(OCC)=O)=O,H2O,neutral,-0.383
"(-+,,?)3-hydroxy-1-methyl-2,3-dihydroindole-5,6-dione",CN1CC(C2=CC(=O)C(=O)C=C21)O,H2O,neutral,-0.253
"5-aminophthalazine-1,4-dione",C1=CC2=C(C(=C1)N)C(=O)N=NC2=O,H2O,neutral,0.24
"4a,10a-dihydrophenanthrene-9,10-dione",C1=CC=C2C(=C1)C3C=CC=CC3C(=O)C2=O,H2O,neutral,-0.124
