Formula,Name,IUPAC Standard InChIKey,EA_,IE_,SMILES,EA,IE
C21H13N,"Dibenz[a,j]acridine",ANUCHZVCBDOPOX-UHFFFAOYSA-N,,,C1=CC=C2C(=C1)C=CC3=NC4=C(C=C32)C5=CC=CC=C5C=C4,0.938131878,7.202509522
C21H13N,"Dibenz(a,h)acridine",JNCSIWAONQTVCF-UHFFFAOYSA-N,,,C1=CC=C2C(=C1)C=CC3=C2C=C4C=CC5=CC=CC=C5C4=N3,0.923873314,7.031267978
C21H13N,"Dibenz(a,c)acridine",GUZBPGZOTDAWBO-UHFFFAOYSA-N,,,C1=CC=C2C(=C1)C=C3C4=CC=CC=C4C5=CC=CC=C5C3=N2,0.926428427,7.178550237
C13H14N4O,"Pyrazolo[1,5-d][1,2,4]triazin-3-one, 2,6-dimethyl-7-phenyl",RUFNUJIQQGZOLS-UHFFFAOYSA-N,,,CC1=NN2C(N(NC(=O)C2=C1)C)C3=CC=CC=C3,-0.070152679,7.269777835
C13H14N4O,Diphenylcarbazide,KSPIHGBHKVISFI-UHFFFAOYSA-N,,,,-0.704090067,6.526356989
C18H16N4,"1H-Benzimidazol-2-acetonitrile,α-([4-(dimethylamino)phenyl]methylene)-",SHZAKAMMDOHBMT-KAMYIIQDSA-N,,,CN(C)C1=CC=C(C=C1)C=C(C#N)C2=NC3=CC=CC=C3N2,1.043215318,6.389297903
C18H16N4,"8,8A,16,16a-tetrahydro[1,2,4,5]tetrazino[6,1-a:3,4-a']diisoquinoline",HAFCGMNAWLVBNO-UHFFFAOYSA-N,,,,,6.139944462
C18H16N4,"6A, 7, 14a, 15-tetrahydro[1,2,4,5]tetrazino[1,6-a:4,3-a']diquinoline",MEUGFCZIEBQJLV-UHFFFAOYSA-N,,,C1=CC=C2C(=C1)C=CC3N2NC4C=CC5=CC=CC=C5N4N3,0.105175957,6.170162278
C6H10N4,Pentylenetetrazol,CWRVKFFCRWGWCS-UHFFFAOYSA-N,,,C1CCC2=NN=NN2CC1,-1.14303615,9.139842926
C6H10N4,5-ethenyl-2-(1-methylethyl)-2H-tetrazole,ALUPAKHJDKXMJC-UHFFFAOYSA-N,,,CC(C)N1N=C(N=N1)C=C,-0.415988163,8.518493346
C6H10N4,"Pyrimidine, 5-amino-4- (ethylamino)-",RLRUJMDXPFHVDE-UHFFFAOYSA-N,,,,-0.973775567,7.202844217
C14H10O2,"Ethanedione, diphenyl-",WURBFLDFSFBTLW-UHFFFAOYSA-N,,8.68,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,1.423540744,7.747679186
C14H10O2,9H-Fluorene-9-carboxylic acid,DNVJGJUGFFYUPT-UHFFFAOYSA-N,,,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C(=O)O,-0.116294372,7.55285931
C14H10O2,Anthracene transannular peroxide,SRWMCQYMZIZLAY-UHFFFAOYSA-N,,,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)OO3,1.611168752,
C14H10O2,"Benzo[b]benzo[3,4]cyclobuta[1,2-e][1,4]dioxin, 4b,10a-dihydro-",SSPWYTLOLFBHPK-UHFFFAOYSA-N,,7.6,C1=CC=C2C3C(C2=C1)OC4=CC=CC=C4O3,,7.116816641
C14H10O2,"(1,1'-Biphenyl)-2,2'-dicarboxaldehyde",HJFGULDHUDIPDA-UHFFFAOYSA-N,,,C1=CC=C(C(=C1)C=O)C2=CC=CC=C2C=O,1.196266309,8.061353989
C14H10O2,"Dibenz[b,e]oxepin-11(6H)-one",YUSHFLBKQQILNV-UHFFFAOYSA-N,,9.63,C1C2=CC=CC=C2C(=O)C3=CC=CC=C3O1,0.809614325,7.857162644
C14H10O2,"9,10-Phenanthrenediol",ODUSUXJNDWKJKH-UHFFFAOYSA-N,,,C1=CC=C2C(=C1)C3=CC=CC=C3C(=C2O)O,,6.940173713
C14H10O2,"1,4-Benzodioxin, 2-phenyl-",PZCIQQNWTOBWLW-UHFFFAOYSA-N,,7.28,C1=CC=C(C=C1)C2=COC3=CC=CC=C3O2,0.038196081,6.691544085
C14H10O2,"1H-Phenalen-1-one,9-methoxy-",DDOQXZFGJIXGPO-UHFFFAOYSA-N,,8.14,COC1=C2C(=O)C=CC3=CC=CC(=C32)C=C1,1.160070236,7.51315574
C14H10O2,Fluorene-4-carboxylic acid,WJNBLUOXTBTGMB-UHFFFAOYSA-N,,,C1C2=C(C3=CC=CC=C31)C(=CC=C2)C(=O)O,0.393626163,7.620179324
C14H10O2,3-Phenyl-2-benzofuranone,NANGQJICIOUURV-UHFFFAOYSA-N,,,C1=CC=C(C=C1)C2C3=CC=CC=C3OC2=O,-0.184106905,7.995590444
C8H7NO4,"Benzoic acid, 4-nitro-, methyl ester",YOJAHJGBFDPSDI-UHFFFAOYSA-N,1.461,9.7,COC(=O)C1=CC=C(C=C1)[N+](=O)[O-],1.458642934,9.031181239
C8H7NO4,"Benzoic acid, 3-nitro-, methyl ester",AXLYJLKKPUICKV-UHFFFAOYSA-N,1.227,,COC(=O)C1=CC(=CC=C1)[N+](=O)[O-],1.120075509,9.088463116
C8H7NO4,"Acetic acid, 4-nitrophenyl ester",QAUUDNIGJSLPSX-UHFFFAOYSA-N,,9.5,CC(=O)OC1=CC=C(C=C1)[N+](=O)[O-],,
C8H7NO4,"Acetic acid, 3-nitrophenyl ester",HRMRLUUZPLAPAS-UHFFFAOYSA-N,,9.4,,0.9838518,
C8H7NO4,2-Nitrophenyl acetate,MRCKRGSNLOHYRA-UHFFFAOYSA-N,,,CC(=O)OC1=CC=CC=C1[N+](=O)[O-],0.994523955,8.686192018
C8H7NO4,"Benzoic acid, 2-nitro-, methyl ester",AOXPHVNMBPFOFS-UHFFFAOYSA-N,,,COC(=O)C1=CC=CC=C1[N+](=O)[O-],1.108845529,8.910146711
C8H7NO4,"Benzeneacetic acid, 3-nitro-",WUKHOVCMWXMOOA-UHFFFAOYSA-N,,,C1=CC(=CC(=C1)[N+](=O)[O-])CC(=O)O,0.913584835,8.77591757
