SMILE,SRP
CCN(CC)CCN1C2=CC=CC=C2SC3=CC=CC=C31,0.807
C1=CC=C(C=C1)C[N+]2=CC=C(C=C2)C3=CC=[N+](C=C3)CC4=CC=CC=C4,-0.37
CN1C=C(N=C1[N+](=O)[O-])[N+](=O)[O-],-0.243
C1=CC=C2C(=C1)C=CN2,1.24
[CH2-]C1=CC=CC=C1,-1.21
C1=CC=C(C=C1)S(=O)(=O)CCN2C=CN=C2[N+](=O)[O-],-0.367
C1(=C(C=CC(=C1)O)O)COC,0.118
CCCC(CN1C=CN=C1[N+](=O)[O-])O,-0.389
C1C[N+]2=CC=CC3=C2C4=C(C=CC=[N+]41)C=C3,-0.28
CN1C(=CN=C1[N+](=O)[O-])C=[N+](C)[O-],-0.282
CC(=O)OCC1=CC2=C(C=C1)C(=O)C=CC2=O,-0.094
C1=C[NH+]=CC=C1C2=CC=[NH+]C=C2,-0.485
C2(C1=C[N](C(=C1C(C(=C2C)C)=O)C)C)=O,-0.452
CC1=CC2=[N+](CCC[N+]3=C2C=C(C=C3)C)C=C1,-0.691
CC1=CC(=O)C2=CC=CC=C2C1=O,-0.203
C1=CC(=C(C(=C1)O)O)O,-0.009
CC1=[N+](C=CC(=C1)C2=CC(=[N+](C=C2)CCO)C)CCO,-0.481
C1COCCN1CCN2C=NC=C2[N+](=O)[O-],-0.39
C1(=CC=CC(=C1)[CH2-])CN,-0.87
CN(C)CCCNC1=C2C(=CC=C(C2=NC3=CC=CC=C31)N(C)C)[N+](=O)[O-],-0.334
C1=CC(=C(C=C1CC(=O)O)O)O,0.021
C1CC2=C3C(=O)C=CC(=O)C3=C(N2C1)C4=CC=CC=C4,-0.427
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)N)N,0.94
CC(=O)C1=CC(=CC=C1)[N+](=O)[O-],-0.437
C1=CC(=CC=C1CC(C(=O)O)N)O,0.87
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O,-0.241
CN(C)[CH2-],-1.76
C1=CC(=CC=C1[CH2])OC2=CC=CC=C2,0.69
C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Os+2],0.8
C12=[S]3ON=C1CSCC2=NO3,-0.375
C1=CC3=C(C=C1)N(C2=C(C=CC=C2)S3)CCCN(CC)CC,0.954
