Name,No.,SMILE,"half-wave potential(E(1/2)/mV), SCE electrode","half-wave potential (V, SHE)",solvent
FcCO2H,27,O=C(O)C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,275,0.519,PBS buffer
FcCH2CO2H,16,O=C(O)CC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,120,0.364,PBS buffer
FcCH:CHCO2H,28,C1=CC=C[C-]1[Fe+2][C-]1C(C=CC(=O)O)=CC=C1,220,0.464,PBS buffer
Fc(CH2)3CO2H,18,O=C(O)CCC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,90,0.334,PBS buffer
Fc(CH2)4CO2H,19,O=C(O)CCCC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,80,0.324,PBS buffer
FcCH2CH(NH2)CO2H,29,O=C(O)C(N)C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,200,0.444,PBS buffer
FcCH2SCH2CH(NH2)CO2H,30,O=C(O)C(N)CSCC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,200,0.444,PBS buffer
FcCH2CONH2,20,C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1CC(=O)N,210,0.454,PBS buffer
Fc(CH2)2CONH2,21,C1=CC=C[C-]1[Fe+2][C-]2C=CC=C2CCC(N)=O,170,0.414,PBS buffer
Fc(CH2)3CONH2,22,C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1CCCC(=O)N,105,0.349,PBS buffer
Fc(CH2)4CONH2,23,C1=CC=C[C-]1[Fe+2][C-]2C=CC=C2CCCCC(=O)N,105,0.349,PBS buffer
FcOH,31,C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1O,-200,0.044,PBS buffer
FcCH2OH,32,C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1CO,185,0.429,PBS buffer
Fc(CH2)2OH,33,C1=CC=C[C-]1[Fe+2][C-]1C=C(C=C1)CCO,120,0.364,PBS buffer
FcCH(Me)OH,34,OC(C)C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,175,0.419,PBS buffer
FcCH2O(CH2)2OH,35,C1=CC=C[C-]1[Fe+2][C-]2C=CC(=C2)COCCO,205,0.449,PBS buffer
"1,1'-Fc(CH2OH)2",36,OCC1=CC=C[C-]1[Fe+2][C-]1C(CO)=CC(=C1),230,0.474,PBS buffer
"1,2-Fc(CH2OH)2",37,OCC1=C(CO)C=C[C-]1[Fe+2][C-]2C=CC=C2,230,0.474,PBS buffer
FcCH2O-glucose,38,C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1COC1O[CH](O)[CH](O)[CH](O)[CH]1O,210,0.454,PBS buffer
FcNH2,39,C1=CC=C[C-]1[Fe+2][C-]1C=CC(=C1)N,-95,0.149,PBS buffer
FcCH2NH2,40,C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1CN,295,0.539,PBS buffer
Fc(CH2)2NH2,41,C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1CCN,185,0.429,PBS buffer
Fc(CH2)3NH2,42,C1=CC=C[C-]1[Fe+2][C-]1C=CC(=C1)CCCN,135,0.379,PBS buffer
"1,1'-Me2FcCH2NH2",43,CC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1CN,190,0.434,PBS buffer
FcCH2NMe2,44,CN(C)CC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,315,0.559,PBS buffer
(R)-FcCH(Me)NMe2,45,CN(C)C(C)C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,340,0.584,PBS buffer
(S)-FcCH(Me)NMe2,46,CN(C)C(C)C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,340,0.584,PBS buffer
"1,2-Me3SiFcCH2NMe2",47,C1=CC=C[C-]1[Fe+2][C-]1C([Si](C)(C)(C))=C(CN(C)(C))C=C1,340,0.584,PBS buffer
FcCH2NMe3+X-,48,C[N+](C)(C)CC1=C[C-](C=C1)[Fe+2][C-]2C=CC=C2.[X-],390,0.634,PBS buffer
FcCH2NH(CH2)2NH2,49,C1=CC=C[C-]1[Fe+2][C-]2C=CC(=C2)CN(CCN),300,0.544,PBS buffer
"1,1'-Me2FcCH(OH)CH2NH2",1,C1=CC=C[C-]1[Fe+2][C-]1C=CC(=C1)C(CN)O,145,0.389,PBS buffer
