SMILE,solvent,type,ph,SRP
C1=CC([O])C=CC1[O-],H2O,anion,7.0,0.099
C1=CC(O)C=CC1O,H2O,neutral,7.0,0.459
C1=CC(O)C=CC1O,H2O,neutral,13.5,0.023
C1=CC(O)C=CC1O,H2O,neutral,11.0,0.057
C1=CC(O)C=CC1O,H2O,neutral,0.0,1.041
C1=CC(O)C=CC1O,H2O,neutral,7.0,0.286
CC1=CC([O])C=CC1[O-],H2O,anion,7.0,0.023
CC1=CC(O)C=CC1O,H2O,neutral,7.0,0.414
CC1=C(C(O)C=CC1O)C,H2O,neutral,7.0,0.424
CC1=CC([O])C(=CC1[O-])C,H2O,anion,7.0,-0.066
CC1=CC(O)C(=CC1O)C,H2O,neutral,7.0,0.426
CC1=CC(O)C(=CC1O)C,H2O,neutral,7.0,0.18
CC1=CC([O])C=C(C1[O-])C,H2O,anion,7.0,-0.08
CC1=CC(O)C=C(C1O)C,H2O,neutral,7.0,0.363
CC1=CC(O)C=C(C1O)C,H2O,neutral,7.0,0.142
CC1=CC(O)C(=C(C1O)C)C,H2O,neutral,7.0,0.393
CC1=C(C([O])C(=C(C1[O-])C)C)C,H2O,anion,7.0,-0.264
CC1=C(C(O)C(=C(C1O)C)C)C,H2O,neutral,7.0,0.354
CCC1=CC([O])C=CC1[O-],H2O,anion,7.0,0.0
CCC1=CC(O)C=CC1O,H2O,neutral,7.0,0.395
CCC1=CC(O)C=CC1O,H2O,neutral,7.0,-0.395
CC(C)(C)C1=CC([O])C=CC1[O-],H2O,anion,0.0,0.219
CC(C)(C)C1=CC([O])C=CC1[O-],H2O,anion,7.0,-0.025
CC(C)(C)C1=CC([O])C=CC1[O-],H2O,anion,14.0,-0.023
CC(C)(C)C1=CC([O])C=CC1[O-],H2O,anion,7.0,-0.032
CC(C)(C)C1=CC(O)C=CC1O,H2O,neutral,0.0,1.061
CC(C)(C)C1=CC(O)C=CC1O,H2O,neutral,7.0,0.489
CC(C)(C)C1=CC(O)C=CC1O,H2O,neutral,14.0,-0.075
CC(C)(C)C1=CC(O)C=CC1O,H2O,neutral,7.0,0.453
CC1=CC([O-])C(=CC1[O])C(C)C,H2O,anion,7.0,-0.07
CC1=CC(O)C(=CC1O)C(C)C,H2O,neutral,7.0,0.358
CC1=CC(O)C(=CC1O)C(C)C,H2O,neutral,7.0,-0.428
COC1=CC([O])C=C(C1[O-])OC,H2O,anion,7.0,-0.15
COC1=CC(O)C=C(C1O)OC,H2O,neutral,7.0,0.187
COC1=CC(O)C=C(C1O)OC,H2O,neutral,7.0,-0.337
CC1=C(C([O])C(=CC1[O-])OC)OC,H2O,anion,7.0,-0.11
CC1=C(C(O)C(=CC1O)OC)OC,H2O,neutral,7.0,0.29
CC1=C(C(O)C(=CC1O)OC)OC,H2O,neutral,7.0,0.399
CC1=CC([O])C(=C(C1[O-])OC)OC,H2O,anion,7.0,-0.13
CC1=C(C([O-])C(=C(C1[O])OC)OC)CC=C(C)C,H2O,anion,7.0,-0.23
CC1=C(C(O)C(=C(C1O)OC)OC)CC=C(C)C,H2O,neutral,7.0,0.19
CC1=C(C(O)C(=C(C1O)OC)OC)CC=C(C)C,H2O,neutral,7.0,0.7
CC1=C(C([O-])C(=C(C1[O])OC)OC)CCCCCCCCCC[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,H2O,neutral,7.0,-0.105
CC1=C(C([O-])C(=CC1[O])C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C,H2O,anion,7.0,-0.165
CC1=C(C(O)C(=CC1O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C,H2O,neutral,7.0,0.055
CC1=C(C(O)C(=CC1O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C,H2O,neutral,7.0,0.11
C1CN1C2=C(C([O])C(=C(C2[O-])NCCO)N3CC3)NCCO,H2O,anion,7.0,-0.383
CCOC(=O)NC1=C(C([O-])C(=C(C1[O])N2CC2)NC(=O)OCC)N3CC3,H2O,anion,7.0,-0.228
C1=CC=C(C(=C1)[O])[O-],H2O,anion,7.0,0.21
C1=CC=C(C(=C1)O)O,H2O,neutral,7.0,0.53
C1=CC=C(C(=C1)O)O,H2O,neutral,13.5,0.043
C1=CC=C(C(=C1)O)O,H2O,neutral,11.0,0.139
C1=CC=C(C(=C1)O)O,H2O,neutral,3.5,0.85
C1=CC=C(C(=C1)O)O,H2O,neutral,0.0,1.06
C1=CC=C(C(=C1)O)O,H2O,neutral,7.0,0.37
COC(C1=CC=CC(O)C1O)=O,H2O,neutral,13.5,0.118
COC(=O)C1=CC(=C(C=C1)O)O,H2O,neutral,13.5,0.119
C1=CC(=C(C=C1CC(=O)O)O)O,H2O,neutral,13.5,0.021
C1=CC(=C(C=C1CCN)O)O,H2O,neutral,13.5,0.018
C1=CC(=C(C=C1C(CN)O)O)O,H2O,neutral,13.5,0.044
C1=CC(=C(C=C1/C=C/C(=O)O)O)O,H2O,neutral,13.5,0.084
C1=CC(=C(C=C1/C=C/C(=O)O)O)O,H2O,neutral,7.0,0.54
C1=CC(=C(C=C1/C=C/C(=O)O)O)O,H2O,neutral,3.5,0.88
C1=CC(=C(C=C1/C=C/C(=O)O)O)O,H2O,neutral,0.0,1.09
CNCC(=O)C1=CC(=C(C=C1)O)O,H2O,neutral,13.5,0.18
C1=CC(=C(C=C1CC(C(=O)O)N)O)O,H2O,neutral,13.5,0.014
C1=CC(=CC(=C1)O)O,H2O,neutral,13.5,0.385
C1=CC(=CC(=C1)O)O,H2O,neutral,7.0,0.81
C1=CC(=CC(=C1)O)O,H2O,neutral,13.5,0.3
C1=CC(=CC(=C1)O)O,H2O,neutral,11.6,0.304
C1=CC(=C(C=C1O)C(=O)O)O,H2O,neutral,13.5,0.033
C1=C(C=C(C=C1O)O)C(=O)O,H2O,neutral,13.5,0.28
COC1=CC(=CC(=C1)O)O,H2O,neutral,7.0,0.84
COC1=CC(=CC(=C1)O)O,H2O,neutral,3.5,0.53
COC1=CC(=CC(=C1)O)O,H2O,neutral,0.0,0.85
COC1=CC(=CC(=C1)O)O,H2O,neutral,7.0,1.06
C1=C(C(=CC(=C1S(=O)(=O)[O-])O)S(=O)(=O)[O-])O,H2O,neutral,12.9,0.116
COC1=C(C=CC(=C1)O)O,H2O,neutral,13.5,-0.085
CC(=O)C1=C(C=CC(=C1)O)O,H2O,neutral,13.5,0.118
C1=CC(=C(C=C1O)CC(=O)O)O,H2O,neutral,13.5,-0.5
