SMILE,SRP
C1=CC(=CC=C1CC(C(=O)O)N)O,0.87
C1(=C(C(=C(C2=C1OC(CC2)(C)C(=O)O)C)O)C)C,0.192
C1(=CC=C(C=C1)[CH2-])OC,-1.51
CC1=CC(=NC=C1)C2=NC=CC(=C2)C,-0.54
CN1C2=C(C=C(C=C2)C3=CC=CC=C3)SC4=CC=CC=C41,0.679
CC1=[N+](C=CC(=C1)C2=CC(=[N+](C=C2)CCCl)C)CCCl,-0.422
C1=CC(O)C2=NC=CN=C2C1O,-0.163
C1=CC=[N+](C(=C1)C2=CC=CC=[N+]2CCCS(=O)(=O)[O-])CCCS(=O)(=O)[O-],-0.68
N#CCCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCC#N,-0.362
C1=C(C=C(C(=C1O)O)O)CCN,0.042
C1=NC2=C(N1)C(=O)NC=N2,0.74
CC1=C(C([O-])C(=CC1[O])C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C,-0.165
CN(C)CCCN2C1=CC(=CC=C1SC3=CC=CC=C23)OC,0.71
[O]C1C2=CC=CC=C2C([O-])C3=C(O)C=CC(O)=C13,-0.304
CC1=NC=C(N1C)[N+](=O)[O-],-0.475
C1C(=O)NC(=O)NC1=O,0.79
CC(C)(C)C1=CC([O])C=CC1[O-],-0.025
C1=CC=C(C=C1)[C](C2=CC=CC=C2)O,-0.01
[O-]C1C(Cl)=C(Cl)C([O])C(Cl)=C1Cl,0.65
C1=CC2=C(C=C1CBr)C(=O)C=CC2=O,-0.092
C1=CC2=C(C=CN2)C=C1O,0.216
[O]C1C=CC2=CC=CC=C2C1[O-],0.068
[O-]C1C2=CC=CC=C2C([O])C(SCC(NC(CCC(N)C(O)=O)=O)C(NCC(O)=O)=O)=C1SCC(NC(CCC(N)C(O)=O)=O)C(NCC(O)=O)=O,-0.15
C[N+](C)(C)CC1=C[C-](C=C1)[Fe+2][C-]2C=CC=C2.[X-],0.634
CN1C=NC(=C1S(=O)(=O)NC2=CC=CC=C2Cl)[N+](=O)[O-],-0.444
OC1C2=CC=CC=C2C(O)C3=C1C=CC(S(=O)([O-])=O)=C3,-0.228
C1C[CH]OC1,-0.11
COC1=CC2=C(C=C1)OC(=C2)[N+](=O)[O-],-0.292
CC1=CC(O)C2=C(C1O)C=CC=N2,-0.279
C1=C(C(=CC(=C1N)[N+](=O)[O-])[N+](=O)[O-])C(=O)N,-0.46
[O]C1C=C(O)C2=CC=CC=C2C1[O-],-0.139
CC1=C(N=C2C(O)C=CC(O)C2=N1)C,-0.211
O=C(O)C(N)CSCC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,0.444
C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Os+2],0.81
CC1=CC(=CC(=[N+]1C)C)C2=CC(=[N+](C(=C2)C)C)C,-0.64
CC(C)(C)C1=CC(O)C=CC1O,0.489
C1=C[N+]4=C2C(=C1)C=CC3=C2[N+](=CC=C3)CCCC4,-0.45
CN1C=NC(=C1[N+](=O)[O-])I,-0.461
CC1=CC2=[N+](CC[N+]3=C2C=C(C=C3)C)C=C1,-0.487
OC1C2=CC=CC=C2C(O)C(S(=O)([O-])=O)=C1,0.12
CCCN1C(=C(C2=C1C([O])C(=C(C2[O-])OC)C)CO)C,-0.318
O=S(C1=CC(C([O])/C(N2)=C3NC4=C(C=C(S(=O)([O-])=O)C=C4)C\3[O-])=C2C=C1)([O-])=O,-0.247
C1=C(OC(=C1)[N+](=O)[O-])/C=N\O,-0.253
CC1=C[N+]2=C(C=C1)C3=[N+](CCC2)C=C(C=C3)C,-0.671
C1CN1C2=C(C([O-])C(=C(C2[O])Br)N3CC3)Br,0.032
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,0.187
C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],-0.264
[O]C1C2=CC=CC=C2C([O-])C3=C(N)C=CC(N)=C13,-0.424
O=P([O-])([O-])OC1=CC(C2=C[C-]([Fe+2][C-]3C=CC=C3)C=C2)=CC=C1,0.424
CC(CN1C2=CC=CC=C2S(=O)(=O)C3=CC=CC=C31)N(C)C,0.701
C1=CC(=C(C=C1/C=C/C(=O)O)O)O,0.54
C1=CN(C(=N1)[N+](=O)[O-])CC(=O)O,-0.447
CC1=CC([O])C(=CC1[O-])C,-0.066
CC1=C(C(=O)C(=C(C1=O)C)C)C,-0.26
CC1=CC(=O)C2=CN3CCCC3=C2C1=O,-0.42
